iter	RMSE
0	1423.06409
1	1368.745104
2	1318.825355
3	1270.769972
4	1224.780436
5	1181.415277
6	1141.082212
7	1102.590047
8	1065.909423
9	1031.847923
10	1000.129602
11	971.7043379
12	944.2274534
13	918.2637122
14	893.7216889
15	870.9872081
16	850.571446
17	831.0781658
18	812.0179938
19	795.3360759
20	779.1272222
21	764.9460853
22	751.1581358
23	738.4738758
24	726.4763847
25	715.6739496
26	705.8798272
27	696.6837677
28	687.8701386
29	679.7558024
30	672.3143163
31	665.3082941
32	659.0903958
33	653.1585598
34	648.1640571
35	643.4308317
36	638.8901296
37	635.045539
38	631.0895625
39	627.7154108
40	624.5393591
41	621.4831051
42	618.6983159
43	616.1906434
44	613.8776146
45	611.7049124
46	609.7177744
47	607.9470882
48	606.2660107
49	604.6844347
50	603.2050494
51	602.0273068
52	600.9064326
53	599.8290529
54	598.7376303
55	597.6498921
56	596.7364673
57	595.8119812
58	594.970171
59	594.2264343
60	593.5187676
61	592.8715526
62	592.1766028
63	591.6396628
64	591.0489866
65	590.5324629
66	590.020771
67	589.5997443
68	589.1217935
69	588.649978
70	588.0488478
71	587.6223075
72	587.2906676
73	586.9951606
74	586.6170253
75	586.2333681
76	585.9358541
77	585.6451138
78	585.32869
79	585.0771595
80	584.8084765
81	584.406461
82	584.1675661
83	583.9039455
84	583.6419365
85	583.3973935
86	583.2109473
87	582.8483182
88	582.3976594
89	582.2156144
90	581.9843782
91	581.7700366
92	581.5103
93	581.2879268
94	580.9451349
95	580.7482945
96	580.6196096
97	580.471109
98	580.2870262
99	580.1542592
100	579.9711479
101	579.8322616
102	579.5675932
103	579.4194993
104	579.0311843
105	578.7935469
106	578.490512
107	578.1831959
108	577.454259
109	577.1040603
110	576.8131834
111	576.62541
112	576.4584752
113	576.3487194
114	576.2166698
115	576.1162661
116	575.9507379
117	575.8665656
118	575.7458
119	575.5588785
120	575.3680859
121	575.0831403
122	574.9909295
123	574.8193175
124	574.7354294
125	574.6220766
126	574.5223388
127	574.4473227
128	574.3303267
129	574.2060042
130	574.0027493
131	573.8010039
132	573.6272452
133	573.3611763
134	573.2356167
135	573.1081066
136	572.9858035
137	572.6597213
138	572.5766223
139	572.2372064
140	572.0584055
141	571.8981513
142	571.774935
143	571.4815623
144	571.3782593
145	571.2938198
146	571.0657257
147	571.0172723
148	570.8569259
149	570.5456717
150	570.4831989
151	570.2729761
152	569.8926158
153	569.752847
154	569.5819421
155	569.3555044
156	569.2505158
157	569.2047055
158	569.0761507
159	568.9207765
160	568.7141928
161	568.5946378
162	568.5043971
163	568.287099
164	568.1628213
165	567.9873084
166	567.8150844
167	567.677203
168	567.4164972
169	567.346835
170	567.1725343
171	567.0464611
172	566.8100102
173	566.5422401
174	566.4015249
175	566.2158002
176	566.0927526
177	566.0329497
178	565.9656673
179	565.8433061
180	565.7713933
181	565.5753793
182	565.3904237
183	565.2655253
184	565.0771606
185	564.8449664
186	564.7278944
187	564.5152269
188	564.3432583
189	564.2289845
190	563.9860264
191	563.9056916
192	563.7728646
193	563.6096489
194	563.536293
195	563.1933528
196	563.0329422
197	562.9667116
198	562.757891
199	562.7167978
200	562.6562436
201	562.4997593
202	562.2818343
203	562.0181838
204	561.9458469
205	561.7749465
206	561.73121
207	561.7014789
208	561.457442
209	561.2662967
210	561.0307713
211	560.7207435
212	560.5794884
213	560.417954
214	560.2762803
215	559.9603429
216	559.8373085
217	559.7806014
218	559.6529579
219	559.5115619
220	559.2629589
221	559.1995136
222	559.0850943
223	558.6180436
224	558.5600277
225	558.3778686
226	558.2842744
227	558.1863013
228	558.0919606
229	557.9531089
230	557.8332146
231	557.7451079
232	557.6369655
233	557.4585265
234	557.181708
235	556.8556426
236	556.7891278
237	556.3509993
238	556.1329255
239	555.9432859
240	555.9172493
241	555.6359745
242	555.3942102
243	555.3218973
244	555.2641411
245	554.9987982
246	554.610252
247	554.5067821
248	554.3078752
249	554.116284
250	553.9496211
251	553.6681655
252	553.6087054
253	553.4084581
254	553.3755352
255	553.0896907
256	553.0518841
257	552.9430868
258	552.8591523
259	552.6646345
260	552.6382336
261	552.5818116
262	552.4679542
263	552.3201426
264	552.1908759
265	551.9662584
266	551.8864567
267	551.7004984
268	551.6375094
269	551.5343939
270	551.4365287
271	551.3557564
272	551.0969423
273	551.0573364
274	550.9728578
275	550.6121287
276	550.4327326
277	550.2055062
278	550.1534329
279	549.6789564
280	549.3098476
281	549.2400879
282	549.0874699
283	548.85054
284	548.831306
285	548.7462527
286	548.6092926
287	548.4742478
288	548.3896868
289	548.3747473
290	548.2464766
291	547.7319302
292	547.6308993
293	547.5678895
294	547.2108115
295	547.1233
296	547.0368744
297	546.9736285
298	546.7836829
299	546.6789249
